action_pack_gate_reason,confidence,decision,delivery_status,domain,index,next_product,order_intent_id,priority,product_code,quality_review_status,score,score_request_id,sector_hint,source_deep_order_intent_id,stage
,0.5,nurture,nurture_signal_ready,demo-clinic-lombardia.it,69,nurture_signal,ord_e7ac2b83,medium,nurture_signal,not_applicable,70,natural-action-pack-20260602_110914-1780391354-score-069,dentist,,purchase
,0.67,nurture,,studio-legale-demo.it,70,nurture_signal,,medium,,not_applicable,68,natural-action-pack-20260602_110914-1780391354-score-070,law firm,,score
,0.67,nurture,nurture_signal_ready,studio-legale-demo.it,70,nurture_signal,ord_fda3e97e,medium,nurture_signal,not_applicable,68,natural-action-pack-20260602_110914-1780391354-score-070,law firm,,purchase
,0.49,needs_verification,,cogebra.com,71,verification,,low,,real_estate_sector_unclear_needs_verification,37,natural-action-pack-20260602_110914-1780391354-score-071,real estate,,score
,0.49,needs_verification,verification_ready,cogebra.com,71,verification,ord_2860642b,low,verification,real_estate_sector_unclear_needs_verification,37,natural-action-pack-20260602_110914-1780391354-score-071,real estate,,purchase
,0.36,needs_verification,,valcavallinaimmobili.it,72,verification,,medium,,sector_quality_passed,64,natural-action-pack-20260602_110914-1780391354-score-072,real estate,,score
,0.36,needs_verification,verification_ready,valcavallinaimmobili.it,72,verification,ord_e9f3c6d7,medium,verification,sector_quality_passed,64,natural-action-pack-20260602_110914-1780391354-score-072,real estate,,purchase
,0.47,needs_verification,,agenzia-immobiliare-demo.it,73,verification,,high,,sector_quality_passed,78,natural-action-pack-20260602_110914-1780391354-score-073,real estate,,score
,0.47,needs_verification,verification_ready,agenzia-immobiliare-demo.it,73,verification,ord_2931e196,high,verification,sector_quality_passed,78,natural-action-pack-20260602_110914-1780391354-score-073,real estate,,purchase
,0.8,buy_deep_analysis,,centromedicosanpiox.it,74,deep_analysis,,high,,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-074,dentist,,score
,0.8,buy_deep_analysis,deep_analysis_ready,centromedicosanpiox.it,74,deep_analysis,ord_cda831a7,high,deep_analysis,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-074,dentist,,purchase
score below natural action threshold 80,0.8,buy_deep_analysis,,centromedicosanpiox.it,74,deep_analysis,,high,action_pack,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-074,dentist,ord_cda831a7,action_pack_not_bought
,0.35,needs_verification,,studiofamilydental.it,75,verification,,high,,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-075,dentist,,score
,0.35,needs_verification,verification_ready,studiofamilydental.it,75,verification,ord_552a6838,high,verification,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-075,dentist,,purchase
,0.38,needs_verification,,studio-bianco-avvocati.it,76,verification,,medium,,not_applicable,56,natural-action-pack-20260602_110914-1780391354-score-076,law firm,,score
,0.38,needs_verification,verification_ready,studio-bianco-avvocati.it,76,verification,ord_2e86166a,medium,verification,not_applicable,56,natural-action-pack-20260602_110914-1780391354-score-076,law firm,,purchase
,0.66,nurture,,impresa-edile-demo.it,77,nurture_signal,,medium,,not_applicable,73,natural-action-pack-20260602_110914-1780391354-score-077,construction,,score
,0.66,nurture,nurture_signal_ready,impresa-edile-demo.it,77,nurture_signal,ord_4c3d6817,medium,nurture_signal,not_applicable,73,natural-action-pack-20260602_110914-1780391354-score-077,construction,,purchase
,0.81,watchlist,,agenzia-marketing-demo.it,78,,,medium,,not_applicable,53,natural-action-pack-20260602_110914-1780391354-score-078,marketing agency,,score
,0.49,needs_verification,,tecnocasa.it,79,verification,,low,,real_estate_portal_or_franchise_needs_verification,31,natural-action-pack-20260602_110914-1780391354-score-079,real estate,,score
,0.49,needs_verification,verification_ready,tecnocasa.it,79,verification,ord_3a8d3de5,low,verification,real_estate_portal_or_franchise_needs_verification,31,natural-action-pack-20260602_110914-1780391354-score-079,real estate,,purchase
,0.49,needs_verification,,farmacia-demo.it,80,verification,,medium,,sector_mismatch_needs_verification,45,natural-action-pack-20260602_110914-1780391354-score-080,medicina estetica,,score
,0.49,needs_verification,verification_ready,farmacia-demo.it,80,verification,ord_e49f30ee,medium,verification,sector_mismatch_needs_verification,45,natural-action-pack-20260602_110914-1780391354-score-080,medicina estetica,,purchase
,0.79,buy_deep_analysis,,quinta-essenza.com,81,deep_analysis,,high,,sector_quality_passed,81,natural-action-pack-20260602_110914-1780391354-score-081,medicina estetica,,score
,0.79,buy_deep_analysis,deep_analysis_ready,quinta-essenza.com,81,deep_analysis,ord_26bb4a77,high,deep_analysis,sector_quality_passed,81,natural-action-pack-20260602_110914-1780391354-score-081,medicina estetica,,purchase
"score, confidence, quality and deep analysis gates passed",0.79,buy_deep_analysis,action_pack_ready,quinta-essenza.com,81,deep_analysis,ord_fe020907,high,action_pack,sector_quality_passed,81,natural-action-pack-20260602_110914-1780391354-score-081,medicina estetica,ord_26bb4a77,purchase
,0.79,buy_deep_analysis,,clinic3.it,82,deep_analysis,,high,,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-082,dentist,,score
,0.79,buy_deep_analysis,deep_analysis_ready,clinic3.it,82,deep_analysis,ord_d675fc5f,high,deep_analysis,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-082,dentist,,purchase
"score, confidence, quality and deep analysis gates passed",0.79,buy_deep_analysis,action_pack_ready,clinic3.it,82,deep_analysis,ord_204c6013,high,action_pack,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-082,dentist,ord_d675fc5f,purchase
,0.62,watchlist,,studio-odontoiatrico-demo.it,83,,,medium,,not_applicable,61,natural-action-pack-20260602_110914-1780391354-score-083,dentist,,score
,0.68,buy_deep_analysis,,avalonbenessere.it,84,deep_analysis,,high,,sector_quality_passed,80,natural-action-pack-20260602_110914-1780391354-score-084,medicina estetica,,score
,0.68,buy_deep_analysis,deep_analysis_ready,avalonbenessere.it,84,deep_analysis,ord_80ee9b31,high,deep_analysis,sector_quality_passed,80,natural-action-pack-20260602_110914-1780391354-score-084,medicina estetica,,purchase
confidence below natural action threshold 0.70,0.68,buy_deep_analysis,,avalonbenessere.it,84,deep_analysis,,high,action_pack,sector_quality_passed,80,natural-action-pack-20260602_110914-1780391354-score-084,medicina estetica,ord_80ee9b31,action_pack_not_bought
,0.66,buy_deep_analysis,,centromedico-besana.it,85,deep_analysis,,high,,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-085,dentist,,score
,0.66,buy_deep_analysis,deep_analysis_ready,centromedico-besana.it,85,deep_analysis,ord_7865816c,high,deep_analysis,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-085,dentist,,purchase
confidence below natural action threshold 0.70,0.66,buy_deep_analysis,,centromedico-besana.it,85,deep_analysis,,high,action_pack,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-085,dentist,ord_7865816c,action_pack_not_bought
,0.49,needs_verification,,vistavisiongroup.com,86,verification,,medium,,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-086,medicina estetica,,score
,0.49,needs_verification,verification_ready,vistavisiongroup.com,86,verification,ord_4905c93a,medium,verification,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-086,medicina estetica,,purchase
,0.49,needs_verification,,bianchiosteopata.it,87,verification,,medium,,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-087,medicina estetica,,score
,0.49,needs_verification,verification_ready,bianchiosteopata.it,87,verification,ord_237fe399,medium,verification,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-087,medicina estetica,,purchase
,0.35,needs_verification,,example-dentist-milano.it,88,verification,,high,,not_applicable,75,natural-action-pack-20260602_110914-1780391354-score-088,dentist,,score
,0.35,needs_verification,verification_ready,example-dentist-milano.it,88,verification,ord_97d07fc5,high,verification,not_applicable,75,natural-action-pack-20260602_110914-1780391354-score-088,dentist,,purchase
,0.5,nurture,,demo-clinic-lombardia.it,89,nurture_signal,,medium,,not_applicable,70,natural-action-pack-20260602_110914-1780391354-score-089,dentist,,score
,0.5,nurture,nurture_signal_ready,demo-clinic-lombardia.it,89,nurture_signal,ord_fb2a621d,medium,nurture_signal,not_applicable,70,natural-action-pack-20260602_110914-1780391354-score-089,dentist,,purchase
,0.67,nurture,,studio-legale-demo.it,90,nurture_signal,,medium,,not_applicable,68,natural-action-pack-20260602_110914-1780391354-score-090,law firm,,score
,0.67,nurture,nurture_signal_ready,studio-legale-demo.it,90,nurture_signal,ord_afe8ef88,medium,nurture_signal,not_applicable,68,natural-action-pack-20260602_110914-1780391354-score-090,law firm,,purchase
,0.49,needs_verification,,cogebra.com,91,verification,,low,,real_estate_sector_unclear_needs_verification,37,natural-action-pack-20260602_110914-1780391354-score-091,real estate,,score
,0.49,needs_verification,verification_ready,cogebra.com,91,verification,ord_6655c529,low,verification,real_estate_sector_unclear_needs_verification,37,natural-action-pack-20260602_110914-1780391354-score-091,real estate,,purchase
,0.36,needs_verification,,valcavallinaimmobili.it,92,verification,,medium,,sector_quality_passed,64,natural-action-pack-20260602_110914-1780391354-score-092,real estate,,score
,0.36,needs_verification,verification_ready,valcavallinaimmobili.it,92,verification,ord_5f5837dd,medium,verification,sector_quality_passed,64,natural-action-pack-20260602_110914-1780391354-score-092,real estate,,purchase
,0.47,needs_verification,,agenzia-immobiliare-demo.it,93,verification,,high,,sector_quality_passed,78,natural-action-pack-20260602_110914-1780391354-score-093,real estate,,score
,0.47,needs_verification,verification_ready,agenzia-immobiliare-demo.it,93,verification,ord_10464940,high,verification,sector_quality_passed,78,natural-action-pack-20260602_110914-1780391354-score-093,real estate,,purchase
,0.8,buy_deep_analysis,,centromedicosanpiox.it,94,deep_analysis,,high,,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-094,dentist,,score
,0.8,buy_deep_analysis,deep_analysis_ready,centromedicosanpiox.it,94,deep_analysis,ord_ae026241,high,deep_analysis,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-094,dentist,,purchase
score below natural action threshold 80,0.8,buy_deep_analysis,,centromedicosanpiox.it,94,deep_analysis,,high,action_pack,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-094,dentist,ord_ae026241,action_pack_not_bought
,0.35,needs_verification,,studiofamilydental.it,95,verification,,high,,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-095,dentist,,score
,0.35,needs_verification,verification_ready,studiofamilydental.it,95,verification,ord_156715ba,high,verification,not_applicable,76,natural-action-pack-20260602_110914-1780391354-score-095,dentist,,purchase
,0.38,needs_verification,,studio-bianco-avvocati.it,96,verification,,medium,,not_applicable,56,natural-action-pack-20260602_110914-1780391354-score-096,law firm,,score
,0.38,needs_verification,verification_ready,studio-bianco-avvocati.it,96,verification,ord_d6ac8c60,medium,verification,not_applicable,56,natural-action-pack-20260602_110914-1780391354-score-096,law firm,,purchase
,0.66,nurture,,impresa-edile-demo.it,97,nurture_signal,,medium,,not_applicable,73,natural-action-pack-20260602_110914-1780391354-score-097,construction,,score
,0.66,nurture,nurture_signal_ready,impresa-edile-demo.it,97,nurture_signal,ord_ae41d299,medium,nurture_signal,not_applicable,73,natural-action-pack-20260602_110914-1780391354-score-097,construction,,purchase
,0.81,watchlist,,agenzia-marketing-demo.it,98,,,medium,,not_applicable,53,natural-action-pack-20260602_110914-1780391354-score-098,marketing agency,,score
,0.49,needs_verification,,tecnocasa.it,99,verification,,low,,real_estate_portal_or_franchise_needs_verification,31,natural-action-pack-20260602_110914-1780391354-score-099,real estate,,score
,0.49,needs_verification,verification_ready,tecnocasa.it,99,verification,ord_dc3e6ecf,low,verification,real_estate_portal_or_franchise_needs_verification,31,natural-action-pack-20260602_110914-1780391354-score-099,real estate,,purchase
,0.49,needs_verification,,farmacia-demo.it,100,verification,,medium,,sector_mismatch_needs_verification,45,natural-action-pack-20260602_110914-1780391354-score-100,medicina estetica,,score
,0.49,needs_verification,verification_ready,farmacia-demo.it,100,verification,ord_20775c53,medium,verification,sector_mismatch_needs_verification,45,natural-action-pack-20260602_110914-1780391354-score-100,medicina estetica,,purchase
